id,generation,founder,dosage
1190,2,0,435
1191,2,0,437
1192,2,0,413
1193,2,0,409
1194,2,0,386
1195,2,0,411
1196,2,0,409
1197,2,0,419
1198,2,0,379
1199,2,0,392
1200,2,0,433
1201,2,0,419
1202,2,0,418
1203,2,0,424
1204,2,0,445
1205,2,0,414
1206,2,0,429
1207,2,0,445
1208,2,0,417
1209,2,0,419
1210,2,0,440
1211,2,0,446
1212,2,0,393
1213,2,0,396
1214,2,0,428
1215,2,0,432
1216,2,0,382
1217,2,0,411
1218,2,0,394
1219,2,0,400
1220,2,0,407
1221,2,0,412
1222,2,0,424
1223,2,0,424
1224,2,0,410
1225,2,0,397
1226,2,0,434
1227,2,0,436
1228,2,0,428
1229,2,0,410
1230,2,0,435
1231,2,0,432
1232,2,0,404
1233,2,0,406
1234,2,0,395
1235,2,0,430
1236,2,0,425
1237,2,0,419
1238,2,0,421
1239,2,0,418
1240,2,0,416
1241,2,0,415
1242,2,0,415
1243,2,0,409
1244,2,0,426
1245,2,0,414
1246,2,0,425
1247,2,0,437
1248,2,0,405
1249,2,0,405
1250,2,0,396
1251,2,0,422
1252,2,0,451
1253,2,0,461
1254,2,0,434
1255,2,0,454
1256,2,0,415
1257,2,0,437
1258,2,0,421
1259,2,0,422
1260,2,0,425
1261,2,0,408
1262,2,0,407
1263,2,0,433
1264,2,0,421
1265,2,0,422
1266,2,0,437
1267,2,0,403
1268,2,0,422
1269,2,0,423
1270,2,0,415
1271,2,0,405
1272,2,0,400
1273,2,0,390
1274,2,0,399
1275,2,0,410
1276,2,0,398
1277,2,0,399
1278,2,0,434
1279,2,0,429
1280,2,0,435
1281,2,0,439
1282,2,0,408
1283,2,0,414
1284,2,0,431
1285,2,0,413
1286,2,0,389
1287,2,0,415
1288,2,0,399
1289,2,0,387
1290,2,0,428
1291,2,0,426
1292,2,0,428
1293,2,0,417
1294,2,0,402
1295,2,0,407
1296,2,0,425
1297,2,0,416
1298,2,0,404
1299,2,0,410
1300,2,0,415
1301,2,0,414
1302,2,0,426
1303,2,0,407
1304,2,0,398
1305,2,0,414
1306,2,0,402
1307,2,0,399
1308,2,0,424
1309,2,0,395
1310,2,0,408
1311,2,0,426
1312,2,0,395
1313,2,0,409
1314,2,0,419
1315,2,0,418
1316,2,0,417
1317,2,0,402
1318,2,0,425
1319,2,0,430
1320,2,0,424
1321,2,0,421
1322,2,0,415
1323,2,0,419
1324,2,0,430
1325,2,0,431
1326,2,0,411
1327,2,0,410
1328,2,0,411
1329,2,0,399
1330,2,0,419
1331,2,0,430
1332,2,0,433
1333,2,0,412
1334,2,0,422
1335,2,0,416
1336,2,0,433
1337,2,0,426
1338,2,0,418
1339,2,0,420
1340,2,0,411
1341,2,0,417
1342,2,0,403
1343,2,0,403
1344,2,0,433
1345,2,0,406
1346,2,0,418
1347,2,0,420
1348,2,0,396
1349,2,0,401
1350,2,0,417
1351,2,0,411
1352,2,0,422
1353,2,0,409
1354,2,0,442
1355,2,0,433
1356,2,0,424
1357,2,0,412
1358,2,0,413
1359,2,0,400
1360,2,0,392
1361,2,0,398
1362,2,0,414
1363,2,0,418
1364,2,0,397
1365,2,0,411
1366,2,0,416
1367,2,0,425
1368,2,0,423
1369,2,0,418
1370,2,0,400
1371,2,0,393
1372,2,0,418
1373,2,0,408
1374,2,0,415
1375,2,0,424
1376,2,0,388
1377,2,0,415
1378,2,0,403
1379,2,0,390
1380,2,0,380
1381,2,0,416
1382,2,0,440
1383,2,0,441
1384,2,0,408
1385,2,0,420
1386,2,0,430
1387,2,0,415
1388,2,0,411
1389,2,0,394
1390,2,0,403
1391,2,0,385
1392,2,0,414
1393,2,0,414
1394,2,0,434
1395,2,0,414
1396,2,0,430
1397,2,0,440
1398,2,0,419
1399,2,0,380
1400,2,0,417
